,tr_build_number,tr_status,tr_tests_ran,tr_tests_failed,gh_project_name,gh_lang,gh_team_size,git_num_committers,gh_sloc,git_commit,gh_by_core_team_member,gh_is_pr,gh_pull_req_num,gh_description_complexity,gh_num_commit_comments,gh_num_pr_comments,gh_num_issue_comments
367,150,passed,False,False,AChep/AcDisplay,java,3,1,14447,c712064fd462adab01ba88f4c74d5bbec6e2e9c6,True,False,,,2,0,0
368,151,passed,False,False,AChep/AcDisplay,java,3,1,14743,77a20d3ca0066e322e976a2afc605eef0b0d3b52,True,False,,,1,0,0
841,296,passed,True,False,Albacore/albacore,ruby,5,1,2676,c52bba49b777da1e5b78a7c4019c81a90707a32b,True,False,,,5,0,0
849,300,passed,True,False,Albacore/albacore,ruby,5,1,1984,cf6603810521ec76a370c14d0f296ca4192bd242,True,False,,,5,0,0
912,335,passed,False,False,Albacore/albacore,ruby,4,1,2679,d74e0ff6ccb53c5f8779ce2abce2fa0ad3db7a2f,False,False,,,1,0,0
915,336,passed,True,False,Albacore/albacore,ruby,4,1,2108,f777f5989cf1293aeeba5def6264449ec3207e50,True,False,,,3,0,0
922,346,passed,True,False,Albacore/albacore,ruby,4,1,2681,8bb8eb05b8e5ddac869c95cc93b613011109f7ba,False,False,,,2,0,0
976,365,passed,True,False,Albacore/albacore,ruby,4,1,2578,fe028603deb029a492aa4b02f438f87668ba9e5a,False,False,,,1,0,0
982,367,passed,True,False,Albacore/albacore,ruby,4,1,2544,f85c3fe9c499d6179715eb63686fe759c2f78c96,False,False,,,2,0,0
985,368,passed,True,False,Albacore/albacore,ruby,4,1,2487,2b986c399c67bd5574e53e018688933b31fdb53e,False,False,,,2,0,0
994,371,passed,True,False,Albacore/albacore,ruby,4,1,2141,43d113979c5058d6460dced34b064f645136bf0f,True,False,,,5,0,0
1080,429,passed,True,False,Albacore/albacore,ruby,4,1,2476,39fca2bd7a6b0f04cad018a1c4acb149d58320fc,False,False,,,1,0,0
1206,49,passed,True,False,Albacore/albacore,ruby,6,2,2616,828a556328c86a819211b002877f625610fbfc0d,False,True,17.0,42.0,5,2,0
1261,453,passed,True,False,Albacore/albacore,ruby,5,1,2879,3f2a0aa3d08835b8dacea310249279be254ab555,True,True,122.0,5.0,0,0,1
1300,502,passed,True,False,Albacore/albacore,ruby,4,2,2955,676d3415785187f97a6e870f7affce731ff40b2d,True,True,140.0,28.0,0,0,1
1333,86,failed,False,False,Albacore/albacore,ruby,5,3,2620,0225d28db8e32598a3b0725a512f6c2a774ba1a7,False,True,30.0,64.0,0,2,5
1345,95,passed,True,False,Albacore/albacore,ruby,5,2,2622,d9548c2c20d4bd84f0d790cdf0967dcfef3c3355,False,True,35.0,33.0,0,0,1
1363,111,passed,True,False,Albacore/albacore,ruby,5,2,2626,792c22235f2cdc44ceef8c5190e33f7270ffa56f,False,True,34.0,24.0,5,6,5
1466,157,passed,True,False,Albacore/albacore,ruby,5,1,2625,c3f3cc05d7573ba3e723705907c2c9389c7a25b1,False,True,43.0,103.0,0,0,2
1475,163,passed,True,False,Albacore/albacore,ruby,5,1,2658,8e6f9b3ea4cf12558336fac76a29993f6654e792,True,True,45.0,87.0,0,0,5
1479,165,passed,True,False,Albacore/albacore,ruby,5,1,2627,40132c992219f81b6d57468a7cb5300efb4792d9,True,True,37.0,20.0,0,2,1
1487,168,passed,True,False,Albacore/albacore,ruby,5,1,2627,a6d5e2b8a70df77bf75365e66b571f51f6c20597,True,True,37.0,20.0,0,1,2
1495,172,failed,False,False,Albacore/albacore,ruby,5,1,1176,130b7e766d49e7045d6e323d0a25c1bb36762afa,False,True,44.0,26.0,0,0,1
2501,145,passed,True,False,ArturT/knapsack,ruby,2,1,596,5ad631817addeb04753e20e321a435352d2d20bc,False,True,1.0,54.0,3,0,1
2506,146,passed,True,False,ArturT/knapsack,ruby,2,1,595,4cfbf3eaabe8af3eac6644ae96858c8d500b5118,True,False,,,3,0,0
3450,172,passed,False,False,Azure/azure-sdk-for-ruby,ruby,7,1,6124,9338a53ca798d198e8842050a6bf1e7732c6a33d,True,True,163.0,2.0,0,1,0
3452,185,passed,False,False,Azure/azure-sdk-for-ruby,ruby,7,1,6216,8433816354a45e7cd4a7d8e1802ba05f43033408,True,True,169.0,19.0,1,0,0
3454,188,passed,False,False,Azure/azure-sdk-for-ruby,ruby,7,1,6216,8351a1a640c0ea989fba780b7f0d69890426ca1d,True,True,169.0,19.0,0,2,2
3458,195,passed,False,False,Azure/azure-sdk-for-ruby,ruby,7,1,6229,2afa4b7fad31c56dc9938dceadd774d846fdc072,True,True,174.0,29.0,0,0,1
3464,205,passed,False,False,Azure/azure-sdk-for-ruby,ruby,6,1,6205,40451967991e1d334837b1c34618599e1f6af837,False,True,182.0,45.0,1,0,0
3466,231,passed,False,False,Azure/azure-sdk-for-ruby,ruby,6,1,6205,8a153ec6ae39d72fe91610de5f91094a4b3bbb16,False,True,184.0,117.0,2,0,0
